corpus_index,source,paper_id,title,year,doi,has_abstract
175,arxiv,2505.08198,SIM-Shapley: A Stable and Computationally Efficient Approach to Shapley Value Approximation,2025,,True
176,arxiv,2011.04049,FairLens: Auditing Black-box Clinical Decision Support Systems,2020,,True
177,arxiv,2311.14139,Machine Learning For An Explainable Cost Prediction of Medical Insurance,2023,,True
178,arxiv,2307.07603,Gastrointestinal Disease Classification through Explainable and Cost-Sensitive Deep Neural Networks with Supervised Contrastive Learning,2023,,True
179,arxiv,2606.05710,Explainable AI-Driven Cyber Risk Analytics and Model Reliability Assessment for Intelligent Governance of U.S. Critical Infrastructure: An XGBoost and SHAP-Based Intrusion Detection Framework,2026,10.25163/engineering.2110762,True
180,arxiv,2212.13261,"Explainable AI for Bioinformatics: Methods, Tools, and Applications",2022,,True
181,arxiv,2511.08361,From Confusion to Clarity: ProtoScore -- A Framework for Evaluating Prototype-Based XAI,2025,10.1145/3715275.3732151,True
182,arxiv,2506.07228,Transfer Learning and Explainable AI for Brain Tumor Classification: A Study Using MRI Data from Bangladesh,2025,10.1109/STI64222.2024.10951092,True
183,arxiv,2408.12420,Dataset | Mindset = Explainable AI | Interpretable AI,2024,,True
184,arxiv,2012.00093,Why model why? Assessing the strengths and limitations of LIME,2020,,True
185,arxiv,2501.12706,REX: Causal discovery based on machine learning and explainability techniques,2025,10.1016/j.patcog.2025.112491,True
186,arxiv,2306.11985,Evaluation of Popular XAI Applied to Clinical Prediction Models: Can They be Trusted?,2023,,True
187,arxiv,2503.06463,AXAI-CDSS : An Affective Explainable AI-Driven Clinical Decision Support System for Cannabis Use,2025,,True
